#OTU ID,taxonomy
ASV102,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Hymenochaetales; f__Rickenellaceae; g__Alloclavaria; s__Alloclavaria_sp
ASV103,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Geastrales; f__Sphaerobolaceae; g__Sphaerobolus; s__Sphaerobolus_sp
ASV104,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Thelebolales; f__Pseudeurotiaceae; g__Pseudogymnoascus; s__Pseudogymnoascus_roseus
ASV105,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV106,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Mycosphaerellales; f__Mycosphaerellaceae; g__Ramularia; s__Unassigned
ASV107,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_gemmifera
ASV108,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_westlingii
ASV109,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola_leptodermospora
ASV110,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Subulicystidium; s__Unassigned
ASV111,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Unassigned
ASV112,k__Fungi; p__Chytridiomycota; c__Unassigned; o__ Unassigned; f__Unassigned; g__Unassigned; s__Unassigned
ASV113,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Capnodiales; f__Cladosporiaceae; g__Cladosporium; s__Unassigned
ASV114,k__Fungi; p__Rozellomycota; c__Unassigned; o__ Unassigned; f__Unassigned; g__Unassigned; s__Unassigned
ASV115,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Boletales; f__Sclerodermataceae; g__Scleroderma; s__Scleroderma_areolatum
ASV116,k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__ Exobasidiales; f__Cryptobasidiaceae; g__Acaromyces; s__Acaromyces_ingoldii
ASV117,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Subulicystidium; s__Unassigned
ASV118,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Unassigned; g__Unassigned; s__Unassigned
ASV119,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora_sp
ASV120,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Hyaloscyphaceae; g__Glutinomyces; s__Unassigned
ASV121,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Clavicipitaceae; g__Metapochonia; s__Unassigned
ASV122,k__Fungi; p__Rozellomycota; c__Rozellomycotina_cls_Incertae_sedis; o__ Branch03; f__unidentified; g__unidentified; s__Branch03_sp
ASV123,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Pleosporales; f__Didymellaceae; g__Didymella; s__Didymella_bellidis
ASV124,k__Fungi; p__Rozellomycota; c__unidentified; o__ unidentified; f__unidentified; g__unidentified; s__Rozellomycota_sp
ASV125,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Unassigned; g__Unassigned; s__Unassigned
ASV126,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Podila; s__Unassigned
ASV127,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Unassigned; g__Unassigned; s__Unassigned
ASV128,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Boletales; f__Unassigned; g__Unassigned; s__Unassigned
ASV129,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Luellia; s__Luellia_cystidiata
ASV130,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola_leptodermospora
ASV131,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_aerugineum
ASV132,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Sordariales; f__Sordariales_fam_Incertae_sedis; g__Dendrosporium; s__Dendrosporium_sp
ASV133,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Unassigned; s__Unassigned
ASV134,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Conioscyphales; f__unidentified; g__unidentified; s__Conioscyphales_sp
ASV135,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Dermateaceae; g__Rhizodermea; s__Rhizodermea_veluwensis
ASV136,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola_nigrescens
ASV137,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Penicillium; s__Unassigned
ASV138,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Subulicystidium; s__Unassigned
ASV139,k__Fungi; p__Basidiomycota; c__Pucciniomycetes; o__ Platygloeales; f__unidentified; g__unidentified; s__Platygloeales_sp
ASV140,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Amphisphaeriales; f__Pestalotiopsidaceae; g__Pestalotiopsis; s__Pestalotiopsis_doitungensis
ASV141,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Diaporthales; f__Melanconidaceae; g__Melanconiella; s__Melanconiella_sp
ASV142,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Russulales; f__Russulaceae; g__Russula; s__Russula_sp
ASV143,k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__ Ostropales; f__Odontotremataceae; g__Claviradulomyces; s__Claviradulomyces_xylopiae
ASV144,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Mycosphaerellales; f__Mycosphaerellaceae; g__Ramularia; s__Ramularia_haroldporteri
ASV145,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Dermateaceae; g__Rhizodermea; s__Rhizodermea_veluwensis
ASV146,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__ Pleosporales; f__Didymosphaeriaceae; g__Paraphaeosphaeria; s__Paraphaeosphaeria_minitans
ASV147,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Thelephorales; f__Thelephoraceae; g__Unassigned; s__Unassigned
ASV148,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Magnaporthales; f__unidentified; g__unidentified; s__Magnaporthales_sp
ASV149,k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__ Golubeviales; f__Golubeviaceae; g__Golubevia; s__Golubevia_pallescens
ASV151,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__Exidiaceae; g__Basidiodendron; s__Basidiodendron_spiculosum
ASV152,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__ Trichosporonales; f__Trichosporonaceae; g__Apiotrichum; s__Apiotrichum_xylopini
ASV153,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron_maius
ASV154,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__ Mortierellales; f__Mortierellaceae; g__Linnemannia; s__Unassigned
ASV155,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Talaromyces; s__Unassigned
ASV156,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Cantharellales; f__Unassigned; g__Unassigned; s__Unassigned
ASV157,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron_majus
ASV158,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Clavicipitaceae; g__Keithomyces; s__Keithomyces_acicularis
ASV159,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_sp
ASV160,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Chaetothyriales; f__Cyphellophoraceae; g__Cyphellophora; s__Cyphellophora_guyanensis
ASV161,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Chaetothyriales; f__Herpotrichiellaceae; g__Unassigned; s__Unassigned
ASV162,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__unidentified; g__unidentified; s__Trechisporales_sp
ASV163,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__unidentified; g__unidentified; s__Auriculariales_sp
ASV164,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Cordycipitaceae; g__Simplicillium; s__Simplicillium_lamellicola
ASV165,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_coprobium
ASV166,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Helotiaceae; g__Meliniomyces; s__Meliniomyces_sp
ASV167,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Atractosporales; f__Conlariaceae; g__Conlarium; s__Conlarium_baiseense
ASV168,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chaetosphaeria; s__Chaetosphaeria_sp
ASV169,k__Fungi; p__Unassigned; c__Unassigned; o__ Unassigned; f__Unassigned; g__Unassigned; s__Unassigned
ASV170,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__ Eurotiales; f__Aspergillaceae; g__Penicillium; s__Unassigned
ASV171,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Nectriaceae; g__Fusarium; s__Unassigned
ASV172,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Cantharellales; f__Hydnaceae; g__Unassigned; s__Unassigned
ASV174,k__Fungi; p__Rozellomycota; c__unidentified; o__ unidentified; f__unidentified; g__unidentified; s__Rozellomycota_sp
ASV175,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Cordycipitaceae; g__Lecanicillium; s__Lecanicillium_psalliotae
ASV176,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__ Helotiales; f__Hyaloscyphaceae; g__Hyaloscypha; s__Hyaloscypha_variabilis
ASV177,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Clavicipitaceae; g__unidentified; s__Clavicipitaceae_sp
ASV178,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Hydnodontaceae; g__Luellia; s__Luellia_cystidiata
ASV179,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__ Hypocreales; f__Cordycipitaceae; g__Lecanicillium; s__Lecanicillium_saksenae
ASV180,k__Fungi; p__Rozellomycota; c__Rozellomycotina_cls_Incertae_sedis; o__ GS11; f__unidentified; g__unidentified; s__GS11_sp
ASV181,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Trechisporales; f__Unassigned; g__Unassigned; s__Unassigned
ASV182,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__ Auriculariales; f__Exidiaceae; g__Basidiodendron; s__Basidiodendron_spiculosum
